Taxon,Collection,2004,2006,2008,2010,2014,2016,2018,2020,2022
Vertebrates,CORE,81,89,101,130,202,519,579,746,841
Plants,CORE,15,18,21,21,64,227,489,530,656
Insects,CORE,13,13,14,123,131,133,133,143,150
Nematodes,CORE,NA,NA,NA,5,15,26,26,43,43
Fungi,CORE,NA,NA,NA,177,177,176,176,183,179
Urochordata,CORE,NA,1,1,1,1,1,1,1,86
Cnidaria,CORE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trematodes,CORE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dictyostelium,CORE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oomycota,CORE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vertebrates,UNVALIDATED,NA,NA,NA,NA,NA,NA,NA,171,326
Plants,UNVALIDATED,NA,NA,NA,NA,NA,NA,NA,105,113
Insects,UNVALIDATED,NA,NA,NA,NA,NA,NA,NA,3,6
Nematodes,UNVALIDATED,NA,NA,NA,NA,NA,NA,NA,2,2
Fungi,UNVALIDATED,NA,NA,NA,NA,NA,NA,NA,52,52
Urochordata,UNVALIDATED,NA,NA,NA,NA,NA,NA,NA,NA,46
Cnidaria,UNVALIDATED,NA,NA,NA,NA,NA,NA,NA,1,1
Trematodes,UNVALIDATED,NA,NA,NA,NA,NA,NA,NA,1,1
Dictyostelium,UNVALIDATED,NA,NA,NA,NA,NA,NA,NA,2,2
Oomycota,UNVALIDATED,NA,NA,NA,NA,NA,NA,NA,NA,1
